# FROM-URL	TO-URL
/ru/docs/AJAX	/ru/docs/Web/Guide/AJAX
/ru/docs/AJAX/С_чего_начать	/ru/docs/Web/Guide/AJAX/%D0%A1_%D1%87%D0%B5%D0%B3%D0%BE_%D0%BD%D0%B0%D1%87%D0%B0%D1%82%D1%8C
/ru/docs/AJAX/С_чего_начать?	/ru/docs/Web/Guide/AJAX/%D0%A1_%D1%87%D0%B5%D0%B3%D0%BE_%D0%BD%D0%B0%D1%87%D0%B0%D1%82%D1%8C%3F
/ru/docs/AJAX:С_чего_начать	/docs/ru/AJAX/%D0%A1_%D1%87%D0%B5%D0%B3%D0%BE_%D0%BD%D0%B0%D1%87%D0%B0%D1%82%D1%8C
/ru/docs/AJAX:С_чего_начать?	/docs/ru/AJAX/%D0%A1_%D1%87%D0%B5%D0%B3%D0%BE_%D0%BD%D0%B0%D1%87%D0%B0%D1%82%D1%8C?
/ru/docs/Accessibility	/ru/docs/Web/Accessibility
/ru/docs/Accessibility/Keyboard-navigable_JavaScript_widgets	/ru/docs/Web/Accessibility/Keyboard-navigable_JavaScript_widgets
/ru/docs/Apps/Advanced_topics	/ru/docs/Archive/Apps/Advanced_topics
/ru/docs/Apps/Progressive	/ru/docs/Web/Progressive_web_apps
/ru/docs/Apps/Progressive/Заметный	/ru/docs/Web/Progressive_web_apps/%D0%97%D0%B0%D0%BC%D0%B5%D1%82%D0%BD%D1%8B%D0%B9
/ru/docs/Apps/Начало	/ru/docs/Apps/Getting_Started
/ru/docs/Archive/Firefox_OS/Phone_guide/Flame	/ru/docs/Archive/B2G_OS/Phone_guide/Flame
/ru/docs/Archive/Firefox_OS/Phone_guide/Flame/Updating_your_Flam	/ru/docs/Archive/B2G_OS/Phone_guide/Flame/Updating_your_Flam
/ru/docs/CSS	/ru/docs/Web/CSS
/ru/docs/CSS/:active	/ru/docs/Web/CSS/:active
/ru/docs/CSS/@namespace	/ru/docs/Web/CSS/@namespace
/ru/docs/CSS/CSS3	/ru/docs/Web/CSS/CSS3
/ru/docs/CSS/Reference	/ru/docs/Web/CSS/Reference
/ru/docs/CSS/background-attachment	/ru/docs/Web/CSS/background-attachment
/ru/docs/CSS/background-image	/ru/docs/Web/CSS/background-image
/ru/docs/CSS/background-repeat	/ru/docs/Web/CSS/background-repeat
/ru/docs/CSS/display	/ru/docs/Web/CSS/display
/ru/docs/CSS/float	/ru/docs/Web/CSS/float
/ru/docs/CSS/Синтаксис	/ru/docs/Web/CSS/%D0%A1%D0%B8%D0%BD%D1%82%D0%B0%D0%BA%D1%81%D0%B8%D1%81
/ru/docs/Canvas_tutorial:Basic_usage	/docs/ru/Canvas_tutorial/Basic_usage
/ru/docs/Chrome_Registration	/ru/docs/Mozilla/Chrome_Registration
/ru/docs/Code_snippets:File_I_O	/docs/ru/Code_snippets/File_I//O
